
tanB/mH		     R(D)		     R(D*)
0.214		0.464 +- 0.073 		0.336 +- 0.030
0.215		0.464 +- 0.073 		0.336 +- 0.030
0.216		0.465 +- 0.073 		0.336 +- 0.030
0.217		0.465 +- 0.073 		0.336 +- 0.030
0.218		0.465 +- 0.073 		0.336 +- 0.030
0.219		0.465 +- 0.073 		0.336 +- 0.030
0.220		0.465 +- 0.073 		0.336 +- 0.030
0.221		0.465 +- 0.073 		0.336 +- 0.030
0.222		0.465 +- 0.073 		0.337 +- 0.030
0.223		0.465 +- 0.073 		0.337 +- 0.030
0.224		0.466 +- 0.073 		0.337 +- 0.030
0.225		0.466 +- 0.073 		0.337 +- 0.030
0.226		0.466 +- 0.073 		0.337 +- 0.030
0.227		0.466 +- 0.073 		0.337 +- 0.030
0.228		0.466 +- 0.073 		0.337 +- 0.030
0.229		0.466 +- 0.073 		0.337 +- 0.030
0.230		0.466 +- 0.073 		0.337 +- 0.030
0.231		0.467 +- 0.073 		0.337 +- 0.030
0.232		0.467 +- 0.073 		0.337 +- 0.030
0.233		0.467 +- 0.073 		0.337 +- 0.030
0.234		0.467 +- 0.073 		0.337 +- 0.030
0.235		0.467 +- 0.073 		0.337 +- 0.030
0.236		0.467 +- 0.073 		0.337 +- 0.030
0.237		0.467 +- 0.073 		0.337 +- 0.030
0.238		0.467 +- 0.073 		0.337 +- 0.030
0.239		0.468 +- 0.073 		0.337 +- 0.030
0.240		0.468 +- 0.073 		0.337 +- 0.030
0.241		0.468 +- 0.073 		0.337 +- 0.030
0.242		0.468 +- 0.074 		0.337 +- 0.030
0.243		0.468 +- 0.074 		0.337 +- 0.030
0.244		0.468 +- 0.074 		0.337 +- 0.030
0.245		0.468 +- 0.074 		0.337 +- 0.030
0.246		0.468 +- 0.074 		0.337 +- 0.030
0.247		0.469 +- 0.074 		0.337 +- 0.030
0.248		0.469 +- 0.074 		0.337 +- 0.030
0.249		0.469 +- 0.074 		0.337 +- 0.030
0.250		0.469 +- 0.074 		0.337 +- 0.030
0.251		0.469 +- 0.074 		0.337 +- 0.030
0.252		0.469 +- 0.074 		0.337 +- 0.030
0.253		0.469 +- 0.074 		0.337 +- 0.030
0.254		0.469 +- 0.074 		0.337 +- 0.030
0.255		0.470 +- 0.074 		0.337 +- 0.030
0.256		0.470 +- 0.074 		0.337 +- 0.030
0.257		0.470 +- 0.074 		0.337 +- 0.030
0.258		0.470 +- 0.074 		0.337 +- 0.030
0.259		0.470 +- 0.074 		0.337 +- 0.030
0.260		0.470 +- 0.074 		0.337 +- 0.030
0.261		0.470 +- 0.074 		0.337 +- 0.030
0.262		0.470 +- 0.074 		0.337 +- 0.030
0.263		0.470 +- 0.074 		0.337 +- 0.030
0.264		0.471 +- 0.074 		0.337 +- 0.030
0.265		0.471 +- 0.074 		0.337 +- 0.030
0.266		0.471 +- 0.074 		0.337 +- 0.030
0.267		0.471 +- 0.074 		0.337 +- 0.030
0.268		0.471 +- 0.074 		0.337 +- 0.030
0.269		0.471 +- 0.074 		0.337 +- 0.030
0.270		0.471 +- 0.074 		0.337 +- 0.030
0.271		0.471 +- 0.074 		0.337 +- 0.030
0.272		0.471 +- 0.074 		0.337 +- 0.030
0.273		0.471 +- 0.074 		0.337 +- 0.030
0.274		0.471 +- 0.074 		0.337 +- 0.030
0.275		0.471 +- 0.074 		0.337 +- 0.030
0.276		0.471 +- 0.074 		0.337 +- 0.030
0.277		0.471 +- 0.074 		0.337 +- 0.030
0.278		0.472 +- 0.074 		0.337 +- 0.030
0.279		0.472 +- 0.074 		0.337 +- 0.030
0.280		0.472 +- 0.074 		0.336 +- 0.030
0.281		0.472 +- 0.074 		0.336 +- 0.030
0.282		0.472 +- 0.074 		0.336 +- 0.030
0.283		0.472 +- 0.074 		0.336 +- 0.030
0.284		0.472 +- 0.074 		0.336 +- 0.030
0.285		0.472 +- 0.074 		0.336 +- 0.030
0.286		0.472 +- 0.075 		0.336 +- 0.030
0.287		0.472 +- 0.075 		0.336 +- 0.030
0.288		0.472 +- 0.075 		0.336 +- 0.030
0.289		0.472 +- 0.075 		0.336 +- 0.030
0.290		0.471 +- 0.075 		0.336 +- 0.030
0.291		0.471 +- 0.075 		0.336 +- 0.030
0.292		0.471 +- 0.075 		0.336 +- 0.030
0.293		0.471 +- 0.075 		0.335 +- 0.030
0.294		0.471 +- 0.075 		0.335 +- 0.030
0.295		0.471 +- 0.075 		0.335 +- 0.030
0.296		0.471 +- 0.075 		0.335 +- 0.030
0.297		0.471 +- 0.075 		0.335 +- 0.030
0.298		0.471 +- 0.075 		0.335 +- 0.030
0.299		0.471 +- 0.075 		0.335 +- 0.030
0.300		0.470 +- 0.075 		0.335 +- 0.030
0.301		0.470 +- 0.075 		0.335 +- 0.030
0.302		0.470 +- 0.075 		0.334 +- 0.030
0.303		0.470 +- 0.075 		0.334 +- 0.030
0.304		0.470 +- 0.075 		0.334 +- 0.030
0.305		0.470 +- 0.075 		0.334 +- 0.030
0.306		0.469 +- 0.075 		0.334 +- 0.030
0.307		0.469 +- 0.075 		0.334 +- 0.030
0.308		0.469 +- 0.075 		0.334 +- 0.030
0.309		0.469 +- 0.075 		0.334 +- 0.030
0.310		0.468 +- 0.075 		0.333 +- 0.030
0.311		0.468 +- 0.075 		0.333 +- 0.030
0.312		0.468 +- 0.075 		0.333 +- 0.030
0.313		0.467 +- 0.075 		0.333 +- 0.030
0.314		0.467 +- 0.075 		0.333 +- 0.030
0.315		0.467 +- 0.075 		0.333 +- 0.030
0.316		0.466 +- 0.075 		0.333 +- 0.030
0.317		0.466 +- 0.075 		0.332 +- 0.030
0.318		0.466 +- 0.075 		0.332 +- 0.030
0.319		0.465 +- 0.075 		0.332 +- 0.030
0.320		0.465 +- 0.076 		0.332 +- 0.030
0.321		0.464 +- 0.076 		0.332 +- 0.030
0.322		0.464 +- 0.076 		0.332 +- 0.030
0.323		0.463 +- 0.076 		0.332 +- 0.030
0.324		0.463 +- 0.076 		0.331 +- 0.030
0.325		0.462 +- 0.076 		0.331 +- 0.030
0.326		0.462 +- 0.076 		0.331 +- 0.030
0.327		0.461 +- 0.076 		0.331 +- 0.030
0.328		0.461 +- 0.076 		0.331 +- 0.030
0.329		0.460 +- 0.076 		0.331 +- 0.030
0.330		0.459 +- 0.076 		0.331 +- 0.030
0.331		0.459 +- 0.076 		0.330 +- 0.030
0.332		0.458 +- 0.076 		0.330 +- 0.030
0.333		0.457 +- 0.076 		0.330 +- 0.030
0.334		0.456 +- 0.076 		0.330 +- 0.030
0.335		0.456 +- 0.076 		0.330 +- 0.030
0.336		0.455 +- 0.076 		0.330 +- 0.030
0.337		0.454 +- 0.076 		0.330 +- 0.030
0.338		0.453 +- 0.076 		0.330 +- 0.030
0.339		0.452 +- 0.076 		0.330 +- 0.030
0.340		0.451 +- 0.076 		0.330 +- 0.030
0.341		0.451 +- 0.076 		0.329 +- 0.030
0.342		0.450 +- 0.076 		0.329 +- 0.030
0.343		0.449 +- 0.076 		0.329 +- 0.030
0.344		0.448 +- 0.076 		0.329 +- 0.030
0.345		0.447 +- 0.075 		0.329 +- 0.030
0.346		0.445 +- 0.075 		0.329 +- 0.030
0.347		0.444 +- 0.075 		0.329 +- 0.030
0.348		0.443 +- 0.075 		0.329 +- 0.030
0.349		0.442 +- 0.075 		0.329 +- 0.030
0.350		0.441 +- 0.075 		0.329 +- 0.030
0.351		0.440 +- 0.075 		0.329 +- 0.030
0.352		0.438 +- 0.075 		0.329 +- 0.030
0.353		0.437 +- 0.075 		0.329 +- 0.030
0.354		0.436 +- 0.075 		0.329 +- 0.030
0.355		0.434 +- 0.075 		0.329 +- 0.030
0.356		0.433 +- 0.075 		0.329 +- 0.030
0.357		0.432 +- 0.075 		0.329 +- 0.030
0.358		0.430 +- 0.075 		0.329 +- 0.030
0.359		0.429 +- 0.075 		0.329 +- 0.030
0.360		0.427 +- 0.075 		0.329 +- 0.030
0.361		0.426 +- 0.075 		0.329 +- 0.030
0.362		0.424 +- 0.075 		0.329 +- 0.030
0.363		0.423 +- 0.074 		0.329 +- 0.030
0.364		0.421 +- 0.074 		0.329 +- 0.030
0.365		0.420 +- 0.074 		0.329 +- 0.030
0.366		0.418 +- 0.074 		0.329 +- 0.030
0.367		0.417 +- 0.074 		0.329 +- 0.030
0.368		0.415 +- 0.074 		0.329 +- 0.030
0.369		0.413 +- 0.074 		0.329 +- 0.030
0.370		0.412 +- 0.074 		0.329 +- 0.030
0.371		0.410 +- 0.074 		0.329 +- 0.030
0.372		0.408 +- 0.074 		0.330 +- 0.030
0.373		0.407 +- 0.074 		0.330 +- 0.030
0.374		0.405 +- 0.073 		0.330 +- 0.030
0.375		0.403 +- 0.073 		0.330 +- 0.030
0.376		0.401 +- 0.073 		0.330 +- 0.030
0.377		0.400 +- 0.073 		0.330 +- 0.030
0.378		0.398 +- 0.073 		0.330 +- 0.030
0.379		0.396 +- 0.073 		0.330 +- 0.030
0.380		0.394 +- 0.073 		0.330 +- 0.030
0.381		0.393 +- 0.073 		0.330 +- 0.030
0.382		0.391 +- 0.073 		0.330 +- 0.030
0.383		0.389 +- 0.072 		0.331 +- 0.030
0.384		0.387 +- 0.072 		0.331 +- 0.030
0.385		0.386 +- 0.072 		0.331 +- 0.030
0.386		0.384 +- 0.072 		0.331 +- 0.030
0.387		0.382 +- 0.072 		0.331 +- 0.030
0.388		0.380 +- 0.072 		0.331 +- 0.030
0.389		0.378 +- 0.072 		0.331 +- 0.030
0.390		0.377 +- 0.072 		0.331 +- 0.030
0.391		0.375 +- 0.071 		0.332 +- 0.030
0.392		0.373 +- 0.071 		0.332 +- 0.030
0.393		0.371 +- 0.071 		0.332 +- 0.030
0.394		0.370 +- 0.071 		0.332 +- 0.030
0.395		0.368 +- 0.071 		0.332 +- 0.030
0.396		0.366 +- 0.071 		0.332 +- 0.031
0.397		0.364 +- 0.071 		0.332 +- 0.031
0.398		0.363 +- 0.070 		0.333 +- 0.031
0.399		0.361 +- 0.070 		0.333 +- 0.031
0.400		0.359 +- 0.070 		0.333 +- 0.031
0.401		0.358 +- 0.070 		0.333 +- 0.031
0.402		0.356 +- 0.070 		0.333 +- 0.031
0.403		0.354 +- 0.070 		0.333 +- 0.031
0.404		0.353 +- 0.070 		0.333 +- 0.031
0.405		0.351 +- 0.070 		0.334 +- 0.031
0.406		0.349 +- 0.069 		0.334 +- 0.031
0.407		0.348 +- 0.069 		0.334 +- 0.031
0.408		0.346 +- 0.069 		0.334 +- 0.031
0.409		0.345 +- 0.069 		0.334 +- 0.031
0.410		0.343 +- 0.069 		0.334 +- 0.031
0.411		0.341 +- 0.069 		0.335 +- 0.031
0.412		0.340 +- 0.069 		0.335 +- 0.031
0.413		0.338 +- 0.068 		0.335 +- 0.031
0.414		0.337 +- 0.068 		0.335 +- 0.031
0.415		0.335 +- 0.068 		0.335 +- 0.031
0.416		0.334 +- 0.068 		0.335 +- 0.031
0.417		0.332 +- 0.068 		0.335 +- 0.031
0.418		0.331 +- 0.068 		0.336 +- 0.031
0.419		0.330 +- 0.068 		0.336 +- 0.031
0.420		0.328 +- 0.068 		0.336 +- 0.031
0.421		0.327 +- 0.067 		0.336 +- 0.031
0.422		0.325 +- 0.067 		0.336 +- 0.031
0.423		0.324 +- 0.067 		0.336 +- 0.031
0.424		0.323 +- 0.067 		0.336 +- 0.031
0.425		0.321 +- 0.067 		0.337 +- 0.031
0.426		0.320 +- 0.067 		0.337 +- 0.031
0.427		0.318 +- 0.067 		0.337 +- 0.031
0.428		0.317 +- 0.066 		0.337 +- 0.031
0.429		0.316 +- 0.066 		0.337 +- 0.031
0.430		0.315 +- 0.066 		0.337 +- 0.031
0.431		0.313 +- 0.066 		0.337 +- 0.031
0.432		0.312 +- 0.066 		0.338 +- 0.031
0.433		0.311 +- 0.066 		0.338 +- 0.031
0.434		0.310 +- 0.066 		0.338 +- 0.031
0.435		0.308 +- 0.066 		0.338 +- 0.031
0.436		0.307 +- 0.065 		0.338 +- 0.031
0.437		0.306 +- 0.065 		0.338 +- 0.031
0.438		0.305 +- 0.065 		0.338 +- 0.031
0.439		0.304 +- 0.065 		0.338 +- 0.031
0.440		0.303 +- 0.065 		0.339 +- 0.031
0.441		0.302 +- 0.065 		0.339 +- 0.031
0.442		0.301 +- 0.065 		0.339 +- 0.031
0.443		0.299 +- 0.065 		0.339 +- 0.031
0.444		0.298 +- 0.065 		0.339 +- 0.031
0.445		0.297 +- 0.064 		0.339 +- 0.031
0.446		0.296 +- 0.064 		0.339 +- 0.031
0.447		0.295 +- 0.064 		0.339 +- 0.031
0.448		0.294 +- 0.064 		0.339 +- 0.031
0.449		0.293 +- 0.064 		0.340 +- 0.031
0.450		0.292 +- 0.064 		0.340 +- 0.031
0.451		0.292 +- 0.064 		0.340 +- 0.031
0.452		0.291 +- 0.064 		0.340 +- 0.031
0.453		0.290 +- 0.064 		0.340 +- 0.031
0.454		0.289 +- 0.063 		0.340 +- 0.031
0.455		0.288 +- 0.063 		0.340 +- 0.031
0.456		0.287 +- 0.063 		0.340 +- 0.031
0.457		0.286 +- 0.063 		0.340 +- 0.031
0.458		0.286 +- 0.063 		0.340 +- 0.031
0.459		0.285 +- 0.063 		0.340 +- 0.031
0.460		0.284 +- 0.063 		0.340 +- 0.031
0.461		0.283 +- 0.063 		0.340 +- 0.031
0.462		0.283 +- 0.063 		0.340 +- 0.031
0.463		0.282 +- 0.063 		0.340 +- 0.031
0.464		0.281 +- 0.063 		0.340 +- 0.031
0.465		0.280 +- 0.062 		0.341 +- 0.031
0.466		0.280 +- 0.062 		0.341 +- 0.031
0.467		0.279 +- 0.062 		0.341 +- 0.031
0.468		0.278 +- 0.062 		0.341 +- 0.031
0.469		0.278 +- 0.062 		0.341 +- 0.031
0.470		0.277 +- 0.062 		0.341 +- 0.031
0.471		0.277 +- 0.062 		0.341 +- 0.031
0.472		0.276 +- 0.062 		0.341 +- 0.031
0.473		0.275 +- 0.062 		0.341 +- 0.031
0.474		0.275 +- 0.062 		0.341 +- 0.031
0.475		0.274 +- 0.062 		0.341 +- 0.031
0.476		0.274 +- 0.062 		0.341 +- 0.031
0.477		0.273 +- 0.062 		0.341 +- 0.031
0.478		0.273 +- 0.061 		0.341 +- 0.031
0.479		0.272 +- 0.061 		0.341 +- 0.031
0.480		0.272 +- 0.061 		0.341 +- 0.031
0.481		0.271 +- 0.061 		0.341 +- 0.031
0.482		0.271 +- 0.061 		0.341 +- 0.031
0.483		0.270 +- 0.061 		0.341 +- 0.031
0.484		0.270 +- 0.061 		0.341 +- 0.031
0.485		0.269 +- 0.061 		0.341 +- 0.031
0.486		0.269 +- 0.061 		0.341 +- 0.031
0.487		0.269 +- 0.061 		0.341 +- 0.031
0.488		0.268 +- 0.061 		0.341 +- 0.031
0.489		0.268 +- 0.061 		0.341 +- 0.031
0.490		0.267 +- 0.061 		0.341 +- 0.031
0.491		0.267 +- 0.061 		0.341 +- 0.031
0.492		0.267 +- 0.061 		0.341 +- 0.031
0.493		0.266 +- 0.061 		0.341 +- 0.031
0.494		0.266 +- 0.060 		0.341 +- 0.031
0.495		0.266 +- 0.060 		0.341 +- 0.031
0.496		0.265 +- 0.060 		0.341 +- 0.031
0.497		0.265 +- 0.060 		0.341 +- 0.031
0.498		0.265 +- 0.060 		0.341 +- 0.031
0.499		0.264 +- 0.060 		0.341 +- 0.031
0.500		0.264 +- 0.060 		0.341 +- 0.031
0.501		0.264 +- 0.060 		0.341 +- 0.031
0.502		0.263 +- 0.060 		0.341 +- 0.031
0.503		0.263 +- 0.060 		0.341 +- 0.031
