
tanB/mH		     R(D)		     R(D*)
0.278		0.147 +- 0.004 		0.238 +- 0.001
0.279		0.147 +- 0.004 		0.238 +- 0.001
0.280		0.146 +- 0.004 		0.238 +- 0.001
0.281		0.146 +- 0.004 		0.238 +- 0.001
0.282		0.146 +- 0.004 		0.238 +- 0.001
0.283		0.146 +- 0.004 		0.238 +- 0.001
0.284		0.145 +- 0.004 		0.238 +- 0.001
0.285		0.145 +- 0.004 		0.238 +- 0.001
0.286		0.145 +- 0.004 		0.238 +- 0.001
0.287		0.144 +- 0.004 		0.237 +- 0.001
0.288		0.144 +- 0.004 		0.237 +- 0.001
0.289		0.144 +- 0.004 		0.237 +- 0.001
0.290		0.144 +- 0.004 		0.237 +- 0.001
0.291		0.143 +- 0.004 		0.237 +- 0.001
0.292		0.143 +- 0.004 		0.237 +- 0.001
0.293		0.143 +- 0.004 		0.237 +- 0.001
0.294		0.143 +- 0.004 		0.237 +- 0.001
0.295		0.143 +- 0.004 		0.237 +- 0.001
0.296		0.142 +- 0.004 		0.237 +- 0.001
0.297		0.142 +- 0.004 		0.237 +- 0.001
0.298		0.142 +- 0.004 		0.237 +- 0.001
0.299		0.142 +- 0.003 		0.237 +- 0.001
0.300		0.142 +- 0.003 		0.237 +- 0.001
0.301		0.142 +- 0.003 		0.236 +- 0.001
0.302		0.142 +- 0.003 		0.236 +- 0.001
0.303		0.142 +- 0.003 		0.236 +- 0.001
0.304		0.141 +- 0.003 		0.236 +- 0.001
0.305		0.141 +- 0.003 		0.236 +- 0.001
0.306		0.141 +- 0.003 		0.236 +- 0.001
0.307		0.141 +- 0.003 		0.236 +- 0.001
0.308		0.141 +- 0.003 		0.236 +- 0.001
0.309		0.141 +- 0.003 		0.236 +- 0.001
0.310		0.141 +- 0.004 		0.236 +- 0.001
0.311		0.141 +- 0.004 		0.236 +- 0.001
0.312		0.141 +- 0.004 		0.236 +- 0.001
0.313		0.141 +- 0.004 		0.236 +- 0.001
0.314		0.141 +- 0.004 		0.236 +- 0.001
0.315		0.141 +- 0.004 		0.236 +- 0.001
0.316		0.142 +- 0.004 		0.235 +- 0.001
0.317		0.142 +- 0.004 		0.235 +- 0.001
0.318		0.142 +- 0.004 		0.235 +- 0.001
0.319		0.142 +- 0.004 		0.235 +- 0.001
0.320		0.142 +- 0.004 		0.235 +- 0.001
0.321		0.142 +- 0.004 		0.235 +- 0.001
0.322		0.142 +- 0.004 		0.235 +- 0.001
0.323		0.142 +- 0.004 		0.235 +- 0.001
0.324		0.143 +- 0.004 		0.235 +- 0.001
0.325		0.143 +- 0.004 		0.235 +- 0.001
0.326		0.143 +- 0.004 		0.235 +- 0.001
0.327		0.143 +- 0.004 		0.235 +- 0.001
0.328		0.144 +- 0.004 		0.235 +- 0.001
0.329		0.144 +- 0.004 		0.235 +- 0.001
0.330		0.144 +- 0.004 		0.235 +- 0.001
0.331		0.144 +- 0.004 		0.235 +- 0.001
0.332		0.145 +- 0.004 		0.234 +- 0.001
0.333		0.145 +- 0.005 		0.234 +- 0.001
0.334		0.145 +- 0.005 		0.234 +- 0.001
0.335		0.146 +- 0.005 		0.234 +- 0.001
0.336		0.146 +- 0.005 		0.234 +- 0.001
0.337		0.146 +- 0.005 		0.234 +- 0.001
0.338		0.147 +- 0.005 		0.234 +- 0.001
0.339		0.147 +- 0.005 		0.234 +- 0.001
0.340		0.148 +- 0.005 		0.234 +- 0.001
0.341		0.148 +- 0.005 		0.234 +- 0.001
0.342		0.149 +- 0.005 		0.234 +- 0.001
0.343		0.149 +- 0.005 		0.234 +- 0.001
0.344		0.150 +- 0.006 		0.234 +- 0.001
0.345		0.150 +- 0.006 		0.234 +- 0.001
0.346		0.151 +- 0.006 		0.234 +- 0.001
0.347		0.151 +- 0.006 		0.234 +- 0.001
0.348		0.152 +- 0.006 		0.234 +- 0.001
0.349		0.153 +- 0.006 		0.234 +- 0.001
0.350		0.153 +- 0.006 		0.233 +- 0.001
0.351		0.154 +- 0.006 		0.233 +- 0.001
0.352		0.154 +- 0.007 		0.233 +- 0.001
0.353		0.155 +- 0.007 		0.233 +- 0.001
0.354		0.156 +- 0.007 		0.233 +- 0.001
0.355		0.157 +- 0.007 		0.233 +- 0.001
0.356		0.157 +- 0.007 		0.233 +- 0.001
0.357		0.158 +- 0.007 		0.233 +- 0.001
0.358		0.159 +- 0.007 		0.233 +- 0.001
0.359		0.160 +- 0.008 		0.233 +- 0.001
0.360		0.160 +- 0.008 		0.233 +- 0.001
0.361		0.161 +- 0.008 		0.233 +- 0.001
0.362		0.162 +- 0.008 		0.233 +- 0.001
0.363		0.163 +- 0.008 		0.233 +- 0.001
0.364		0.164 +- 0.008 		0.233 +- 0.001
0.365		0.165 +- 0.008 		0.233 +- 0.001
0.366		0.166 +- 0.009 		0.233 +- 0.001
0.367		0.167 +- 0.009 		0.233 +- 0.001
0.368		0.168 +- 0.009 		0.233 +- 0.001
0.369		0.169 +- 0.009 		0.233 +- 0.001
0.370		0.170 +- 0.009 		0.233 +- 0.001
0.371		0.171 +- 0.010 		0.233 +- 0.001
0.372		0.172 +- 0.010 		0.233 +- 0.001
0.373		0.173 +- 0.010 		0.232 +- 0.001
0.374		0.174 +- 0.010 		0.232 +- 0.001
0.375		0.175 +- 0.010 		0.232 +- 0.001
0.376		0.176 +- 0.010 		0.232 +- 0.001
0.377		0.177 +- 0.011 		0.232 +- 0.001
0.378		0.178 +- 0.011 		0.232 +- 0.001
0.379		0.180 +- 0.011 		0.232 +- 0.001
0.380		0.181 +- 0.011 		0.232 +- 0.001
0.381		0.182 +- 0.011 		0.232 +- 0.001
0.382		0.183 +- 0.012 		0.232 +- 0.001
0.383		0.185 +- 0.012 		0.232 +- 0.001
0.384		0.186 +- 0.012 		0.232 +- 0.001
0.385		0.187 +- 0.012 		0.232 +- 0.001
0.386		0.189 +- 0.013 		0.232 +- 0.001
0.387		0.190 +- 0.013 		0.232 +- 0.001
0.388		0.192 +- 0.013 		0.232 +- 0.001
0.389		0.193 +- 0.013 		0.232 +- 0.001
0.390		0.195 +- 0.013 		0.232 +- 0.001
0.391		0.196 +- 0.014 		0.232 +- 0.001
0.392		0.198 +- 0.014 		0.232 +- 0.001
0.393		0.199 +- 0.014 		0.232 +- 0.001
0.394		0.201 +- 0.014 		0.232 +- 0.001
0.395		0.202 +- 0.015 		0.232 +- 0.001
0.396		0.204 +- 0.015 		0.232 +- 0.001
0.397		0.206 +- 0.015 		0.232 +- 0.001
0.398		0.207 +- 0.015 		0.232 +- 0.001
0.399		0.209 +- 0.016 		0.232 +- 0.001
0.400		0.211 +- 0.016 		0.232 +- 0.001
0.401		0.212 +- 0.016 		0.232 +- 0.001
0.402		0.214 +- 0.017 		0.232 +- 0.001
0.403		0.216 +- 0.017 		0.232 +- 0.001
0.404		0.218 +- 0.017 		0.232 +- 0.001
0.405		0.220 +- 0.017 		0.232 +- 0.001
0.406		0.221 +- 0.018 		0.232 +- 0.001
0.407		0.223 +- 0.018 		0.232 +- 0.001
0.408		0.225 +- 0.018 		0.232 +- 0.001
0.409		0.227 +- 0.019 		0.232 +- 0.001
0.410		0.229 +- 0.019 		0.232 +- 0.001
0.411		0.231 +- 0.019 		0.232 +- 0.001
0.412		0.233 +- 0.019 		0.232 +- 0.001
0.413		0.235 +- 0.020 		0.232 +- 0.001
0.414		0.237 +- 0.020 		0.231 +- 0.001
0.415		0.240 +- 0.020 		0.231 +- 0.001
0.416		0.242 +- 0.021 		0.231 +- 0.001
0.417		0.244 +- 0.021 		0.231 +- 0.001
0.418		0.246 +- 0.021 		0.231 +- 0.001
0.419		0.248 +- 0.022 		0.231 +- 0.001
0.420		0.251 +- 0.022 		0.231 +- 0.001
0.421		0.253 +- 0.022 		0.231 +- 0.001
0.422		0.255 +- 0.023 		0.231 +- 0.001
0.423		0.258 +- 0.023 		0.231 +- 0.001
0.424		0.260 +- 0.023 		0.231 +- 0.001
0.425		0.262 +- 0.024 		0.231 +- 0.001
0.426		0.265 +- 0.024 		0.231 +- 0.001
0.427		0.267 +- 0.024 		0.231 +- 0.001
0.428		0.270 +- 0.025 		0.231 +- 0.001
0.429		0.272 +- 0.025 		0.231 +- 0.001
0.430		0.275 +- 0.026 		0.231 +- 0.001
0.431		0.278 +- 0.026 		0.231 +- 0.001
0.432		0.280 +- 0.026 		0.231 +- 0.001
0.433		0.283 +- 0.027 		0.232 +- 0.001
0.434		0.286 +- 0.027 		0.232 +- 0.001
0.435		0.288 +- 0.027 		0.232 +- 0.001
0.436		0.291 +- 0.028 		0.232 +- 0.001
0.437		0.294 +- 0.028 		0.232 +- 0.001
0.438		0.297 +- 0.029 		0.232 +- 0.001
0.439		0.300 +- 0.029 		0.232 +- 0.001
0.440		0.302 +- 0.029 		0.232 +- 0.001
0.441		0.305 +- 0.030 		0.232 +- 0.001
0.442		0.308 +- 0.030 		0.232 +- 0.001
0.443		0.311 +- 0.031 		0.232 +- 0.001
0.444		0.314 +- 0.031 		0.232 +- 0.001
0.445		0.317 +- 0.032 		0.232 +- 0.001
0.446		0.321 +- 0.032 		0.232 +- 0.001
0.447		0.324 +- 0.032 		0.232 +- 0.001
0.448		0.327 +- 0.033 		0.232 +- 0.001
0.449		0.330 +- 0.033 		0.232 +- 0.001
0.450		0.333 +- 0.034 		0.232 +- 0.001
0.451		0.336 +- 0.034 		0.232 +- 0.001
0.452		0.340 +- 0.035 		0.232 +- 0.001
0.453		0.343 +- 0.035 		0.232 +- 0.001
0.454		0.346 +- 0.036 		0.232 +- 0.001
0.455		0.350 +- 0.036 		0.232 +- 0.001
0.456		0.353 +- 0.036 		0.232 +- 0.001
0.457		0.357 +- 0.037 		0.232 +- 0.001
0.458		0.360 +- 0.037 		0.232 +- 0.001
0.459		0.364 +- 0.038 		0.232 +- 0.001
0.460		0.367 +- 0.038 		0.232 +- 0.001
0.461		0.371 +- 0.039 		0.232 +- 0.001
0.462		0.375 +- 0.039 		0.232 +- 0.001
0.463		0.378 +- 0.040 		0.232 +- 0.001
0.464		0.382 +- 0.040 		0.232 +- 0.001
0.465		0.386 +- 0.041 		0.232 +- 0.001
0.466		0.390 +- 0.041 		0.232 +- 0.001
0.467		0.394 +- 0.042 		0.232 +- 0.001
0.468		0.397 +- 0.042 		0.232 +- 0.001
0.469		0.401 +- 0.043 		0.233 +- 0.001
0.470		0.405 +- 0.044 		0.233 +- 0.001
0.471		0.409 +- 0.044 		0.233 +- 0.001
0.472		0.413 +- 0.045 		0.233 +- 0.001
0.473		0.417 +- 0.045 		0.233 +- 0.001
0.474		0.421 +- 0.046 		0.233 +- 0.001
0.475		0.426 +- 0.046 		0.233 +- 0.001
0.476		0.430 +- 0.047 		0.233 +- 0.001
0.477		0.434 +- 0.047 		0.233 +- 0.001
0.478		0.438 +- 0.048 		0.233 +- 0.001
0.479		0.443 +- 0.049 		0.233 +- 0.001
0.480		0.447 +- 0.049 		0.233 +- 0.001
0.481		0.451 +- 0.050 		0.233 +- 0.001
0.482		0.456 +- 0.050 		0.233 +- 0.001
0.483		0.460 +- 0.051 		0.233 +- 0.001
0.484		0.465 +- 0.052 		0.233 +- 0.001
0.485		0.469 +- 0.052 		0.234 +- 0.001
0.486		0.474 +- 0.053 		0.234 +- 0.001
0.487		0.479 +- 0.053 		0.234 +- 0.001
0.488		0.483 +- 0.054 		0.234 +- 0.001
0.489		0.488 +- 0.055 		0.234 +- 0.001
0.490		0.493 +- 0.055 		0.234 +- 0.001
0.491		0.497 +- 0.056 		0.234 +- 0.001
0.492		0.502 +- 0.056 		0.234 +- 0.001
0.493		0.507 +- 0.057 		0.234 +- 0.001
0.494		0.512 +- 0.058 		0.234 +- 0.001
0.495		0.517 +- 0.058 		0.234 +- 0.001
0.496		0.522 +- 0.059 		0.234 +- 0.001
0.497		0.527 +- 0.060 		0.234 +- 0.001
0.498		0.532 +- 0.060 		0.235 +- 0.001
0.499		0.537 +- 0.061 		0.235 +- 0.001
0.500		0.543 +- 0.062 		0.235 +- 0.001
0.501		0.548 +- 0.062 		0.235 +- 0.001
0.502		0.553 +- 0.063 		0.235 +- 0.001
0.503		0.558 +- 0.064 		0.235 +- 0.001
0.504		0.564 +- 0.065 		0.235 +- 0.001
0.505		0.569 +- 0.065 		0.235 +- 0.001
0.506		0.575 +- 0.066 		0.235 +- 0.001
0.507		0.580 +- 0.067 		0.235 +- 0.001
0.508		0.586 +- 0.067 		0.235 +- 0.001
0.509		0.591 +- 0.068 		0.236 +- 0.001
0.510		0.597 +- 0.069 		0.236 +- 0.001
0.511		0.603 +- 0.070 		0.236 +- 0.001
0.512		0.608 +- 0.070 		0.236 +- 0.001
0.513		0.614 +- 0.071 		0.236 +- 0.001
0.514		0.620 +- 0.072 		0.236 +- 0.001
0.515		0.626 +- 0.073 		0.236 +- 0.001
